Department ID,Department Name,Department Description,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time
79,Projects Office,Project,,1460,10/05/2023 10:50:24 AM,1460,19/05/2023 12:53:16 PM
80,Product Storage Department,Production,,1460,11/05/2023 3:43:33 PM,1460,19/05/2023 12:53:16 PM
81,Localization  ,Maintenance,,1687,12/05/2023 2:58:17 PM,1460,19/05/2023 12:53:16 PM
83,Financial Department,Finance,,1460,19/05/2023 12:47:25 PM,1460,19/05/2023 1:05:24 PM
84,Treasury Department,Other departments,,1460,19/05/2023 12:56:34 PM,1460,19/05/2023 12:58:56 PM
85,Consolidated information and Analytical,Other departments,,1460,19/05/2023 12:57:24 PM,1460,19/05/2023 12:58:56 PM
86,Information security,Other departments,,1460,19/05/2023 12:59:25 PM,1460,19/05/2023 12:58:56 PM
87,Legal department,Other departments,,1460,19/05/2023 1:00:02 PM,1460,19/05/2023 12:58:56 PM
88,Training Sector,Other departments,,1460,19/05/2023 1:04:24 PM,1460,19/05/2023 1:05:23 PM
89,UZGTL (Uniform),only for uniform issuance,,1460,26/05/2023 9:35:07 AM,1460,26/05/2023 9:34:13 AM
90,Routine Maintenance Planning Department,Maintenance,,1460,26/05/2023 11:22:29 AM,1460,26/05/2023 11:21:17 AM
91,Chinoz terminal,Chinoz terminal,,1460,18/07/2023 3:26:14 PM,1460,18/07/2023 3:23:36 PM
