Requisition ID,Requisition Line Description,Requisitioned Quantity,UOMID,Expected Purchase Price,Completed Date Time,Cancelled Date Time,Created By Contact ID,Asset ID
59,"Stainless steel needle valve steel with cap (D Series Needle Valve 1/4"" NPTm/f - RD 196 Bar)/Игольчатый клапан из нерж. стали с крышкой (D Series Needle Valve 1/4"" NPTm/f - RD 196 Bar)",20.0000000,2,100.0000000,,,703,210519
60,Rubber laboratory gloves/Резиновые перчатки лабораторные,1000.0000000,15,0.5000000,3/07/2023 9:01:19 AM,,703,210520
61,Stretch Film,20.0000000,2,4.0000000,3/07/2023 9:39:15 AM,,1656,210563
62,150-PC-002A/B/ RSMP-V 8X6-13A/ Mechanical SEAL (DE&NDE),1.0000000,8,23574.5149000,17/02/2023 3:03:03 PM,17/02/2023 3:03:03 PM,1460,129029
63,150-PC-002A/B/ RSMP-V 8X6-13A/ Mechanical SEAL (DE&NDE),1.0000000,8,23574.5149000,17/02/2023 3:28:04 PM,17/02/2023 3:28:04 PM,1460,129029
64,150-PC-002A/B/ RSMP-V 8X6-13A/ Mechanical SEAL (DE&NDE),1.0000000,8,23574.5149000,18/02/2023 10:36:32 AM,18/02/2023 10:36:32 AM,1460,129029
65,150-PC-002A/B/ RSMP-V 8X6-13A/ Mechanical SEAL (DE&NDE),2.0000000,8,23574.5149000,18/02/2023 10:36:25 AM,18/02/2023 10:36:25 AM,1460,129029
66,Canon i-Sensys MF445dw,1.0000000,8,150.0000000,21/02/2023 2:12:47 PM,21/02/2023 2:12:47 PM,1452,210560
68,"Training for analyzers Bartec Benke in Reinbeck factory, Germany",2.0000000,,1250.0000000,,,1902,210602
69,Caustic soda (NaOH)/ Каустической соды (NaOH),157800.0000000,17,1.3250000,,,1920,210601
70,Scaffolding courses,5.0000000,26,1500.0000000,,,1902,210605
71,Public speaking training courses,40.0000000,,40.0000000,,,1902,210604
72,Комбинезон медицинский защитный (FreeMans),1000.0000000,2,1.1002000,3/07/2023 8:58:08 AM,,695,169272
72,Очки защитные,500.0000000,2,4.4675000,,,695,173597
72,Каска защитная POCOM3 белая с логотипом,500.0000000,2,4.2174000,,,695,130306
72,Himoya zanjiri (Whip check) ,200.0000000,2,5.0000000,,,695,210600
73,Фильтровальный порошок перлитовый вспученный,20000.0000000,17,0.9117000,17/08/2023 4:05:35 PM,,1920,174579
74,045544,1.0000000,2,0.0000000,22/02/2023 2:49:49 PM,22/02/2023 2:49:49 PM,1582,210614
75,The hiring of new welders through outsourcing department,1.0000000,,0.0000000,,,1582,210615
76,VIBRATION,100.0000000,2,3000.0000000,22/02/2023 3:02:38 PM,22/02/2023 3:02:38 PM,1687,176888
77,V-belt(Toothed)/клиновой ремень(зубчатый),2.0000000,8,75.0000000,,31/03/2024 8:23:59 AM,1155,210620
77,V-belt(Toothed)/клиновой ремень(зубчатый),1.0000000,8,35.0000000,,31/03/2024 8:24:03 AM,1155,210621
77,V-belt/клиновой ремень,2.0000000,8,60.0000000,,31/03/2024 8:23:52 AM,1155,210622
77,V-belt/клиновой ремень,4.0000000,8,100.0000000,,31/03/2024 8:24:08 AM,1155,210623
77,V-belt(Toothed)/клиновой ремень(зубчатый),3.0000000,8,50.0000000,,31/03/2024 8:24:17 AM,1155,210624
77,V-belt(Toothed)/клиновой ремень(зубчатый),2.0000000,8,40.0000000,,31/03/2024 8:24:22 AM,1155,210625
78,120-PC-003A/B/ TSP 4X2-9/ Mechanical SEAL,1.0000000,8,0.0000000,23/02/2023 5:43:08 PM,23/02/2023 5:43:08 PM,1,128013
79,120-PC-003A/B/ TSP 4X2-9/ Mechanical SEAL,1.0000000,8,0.0000000,23/02/2023 5:44:55 PM,23/02/2023 5:44:55 PM,1,128013
80,120-PC-003A/B/ TSP 4X2-9/ Mechanical SEAL,2.0000000,8,6202.0496000,24/03/2023 10:37:45 AM,24/03/2023 10:37:45 AM,667,128013
81,Ecology courses for HSE team,1.0000000,,150.0000000,3/07/2023 8:46:21 AM,3/07/2023 8:46:21 AM,1902,211359
82,"GASKET C.A.F THK.2 ММ. FOR 120-HF-101/201 Euro 36,26/Ea",1.0000000,2,35.2802000,28/02/2023 9:11:50 AM,28/02/2023 9:11:50 AM,1687,128015
83,"1,1,1 Трихлорэтан 1л",1.0000000,20,100.0000000,3/07/2023 8:50:26 AM,,703,211390
83,"COD HI-93754B-25 edium range COD reagents.0 to 1,500mg/L. Pack of 150 tests",5.0000000,19,2500.0000000,3/07/2023 8:50:26 AM,,703,211389
84,Welding filler wire for carbon steel metals,200.0000000,17,14.0000000,,,1582,211383
84,Welding filler wire for stainless steel metals,50.0000000,17,130.0000000,,,1582,211384
84,Welding filler wire for stainless steel metals,50.0000000,17,30.0000000,,,1582,211385
84,Protective face shield for working with a grinder,50.0000000,2,4.4000000,,,1582,211386
84,Respirator for welder,25.0000000,2,25.0000000,,,1582,211387
84,Measuring tape 10m,10.0000000,2,10.0000000,,,1582,211388
85,Polyethylene film,842.0000000,17,2.3200000,,,1920,211396
86,"""Задвижка¶:корпус: углеродистая сталь ¶: 3/4""""#800¶ №: :Spare""",1.0000000,2,0.0000000,,3/03/2023 10:14:05 AM,1,178498
87,Universal Milling Machine (Универсальный консольный Фрезерный Станок) Проиводства Узбекистан,1.0000000,8,82000.0000000,,,1463,211408
87,Radial Drilling Machine (Радиально-сверлильный станок),1.0000000,8,10000.0000000,,,1463,211409
87,hydraulic jack 150tГидравлический пресс 150т.,1.0000000,8,10000.0000000,,,1463,211410
87,Листогиб Metal Master LBA 2015sheet bending machine  Metal Master LBA 2015,1.0000000,8,38000.0000000,,,1463,211411
87,lapping machine KemetПритирочные машины Kemet,1.0000000,8,1500.0000000,,,1463,211412
87,Cylindrical Grinding machineКруглош-шлефовальный станок,1.0000000,8,29000.0000000,,,1463,211413
87,Band Saw MachineЛенточнопильный станок,1.0000000,8,5000.0000000,,,1463,211414
87,Muffle FurnaceМуфельный печ,1.0000000,8,4000.0000000,,,1463,211415
87,ЭкстракторHydraulic Tube Bundle Extractor,1.0000000,8,125000.0000000,,,1463,211416
87,test bed mechaniocal seal,1.0000000,8,52500.0000000,,,1463,211417
87,Pipe shaving machineстрогальная машина труба из армированной термоусадочной резины,1.0000000,8,22000.0000000,,,1463,211418
87,RTRP Pipe shaving machineстрогальная машина труба из армированной термоусадочной резины,1.0000000,8,25000.0000000,,,1463,211419
87,Dynamic Horizontal Balancing System/ Система динамической горизонтальной балансировки,1.0000000,8,2500.0000000,,,1463,211420
87,Стенд для испытаний трубопроводной арматуры DN (2…24″) /Test bench for shut off valves (2…24″),1.0000000,8,100000.0000000,,,1463,211421
87,Специальный переноснойшлифовальный станок с эксцентричным вращением шпенделя и шлифовального инструмента для ремонта предохранительных клапанов и клапанных тарелок  (1/2“ - 12“),1.0000000,8,11000.0000000,,,1463,211422
87,Welding machine FoxWeld SAGGIO TIG 300 AC/DC PULSE DIGITALСварочный аппарат FoxWeld SAGGIO TIG 300 AC/DC PULSE DIGITAL,1.0000000,8,1600.0000000,,,1463,211423
87,Water-cooled package WRC 300B 9 л. Foxweld 3243Блок водяного охлаждения WRC 300B 9 л. Foxweld 3243,1.0000000,8,600.0000000,,,1463,211424
87,electrical resistance welding machinery CONTACT DOT 8000CONTACT DOT 8000 Аппарат контактной сварки,1.0000000,8,3800.0000000,,,1463,211425
87,"Plasma Cutter SET 100A, welding helmet, welding gloves, accessories | Paris1000Установка для плазменной резки SET 100A, сварочная каска, термоустойчивые перчатки для сварочных работ| Paris1000",1.0000000,8,1200.0000000,,,1463,211426
87,UHP Water Jetting machine/Гидромонитор (В),1.0000000,8,150000.0000000,,,1463,211427
87,HP Water Jetting machine/Гидромонитор (Н),1.0000000,8,150000.0000000,,,1463,211428
87,Ultrasonic Cleaning Tanks/ Резервуары Для Ультразвуковой Очистки,1.0000000,8,600.0000000,,,1463,211429
87,Gasket Making machineИзготавливающий станок прокладок,1.0000000,8,500.0000000,,,1463,211430
87,Mitutoya Test Indicator контрольный индикатор Mitutoya,1.0000000,8,420.0000000,,,1463,211431
87,Micrometer/Микрометр,1.0000000,8,200.0000000,,,1463,211432
87,Easy-Laser® XT770 - Shaft alignment and geo applications  лазерной центровки,1.0000000,8,30000.0000000,,,1463,211433
87,3/4 HP Concrete VibratorВибратор для уплотнения бетонной смеси 3/4 HP,1.0000000,8,300.0000000,,,1463,211434
87,Wood Cutting Machine Handheld Wood CutterДереворежущий станок ручной резак по дереву,1.0000000,8,400.0000000,,,1463,211435
87,Handheld Cutting Machine Multi-function Micro Electric Wood CutterРучной Станок Для Резки Многофункциональный Микроэлектрический резак по дереву,1.0000000,8,200.0000000,,,1463,211436
87,Digital Laser Measurement Tool Distance Meter M/in/FtЦифровой Лазерный Измерительный Прибор Измеритель Расстояния М/дюйм/Фут,1.0000000,8,100.0000000,,,1463,211437
87,Vertical Concret mixerВертикальный бетоносмеситель,1.0000000,8,400.0000000,,,1463,211438
88,Internal flame arrester closure DE side,1.0000000,8,500.0000000,,,761,211439
88,Internal flame arrester closure NDE side,1.0000000,8,500.0000000,,,761,211440
88,Bearing external closure (with rolling seal) DE side,1.0000000,8,300.0000000,,,761,211441
88,Bearing external closure (with rolling seal) NDE side,1.0000000,8,300.0000000,,,761,211442
88,Grease valve ring DE side,1.0000000,8,20.0000000,,,761,211443
88,Grease valve ring NDE side,1.0000000,8,20.0000000,,,761,211444
88,Rolling bearing DE side (6322 MC3),1.0000000,8,1000.0000000,,,761,211445
88,Rolling bearing NDE side (6316MC3),1.0000000,8,1000.0000000,,,761,211446
88,Supporting shield DE side,1.0000000,8,50.0000000,,,761,211447
88,Supporting shield NDE side,1.0000000,8,50.0000000,,,761,211448
88,Bearings temperature detector,2.0000000,8,1000.0000000,,,761,211449
88,Ring for coupling side of 2-pole motors,1.0000000,8,4.0000000,,,761,211450
88,Split ring DE,1.0000000,8,1.0000000,,,761,211451
88,Split ring NDE,3.0000000,8,1.0000000,,,761,211452
89,Пирометр FLUKE,1.0000000,2,876.9684000,11/03/2023 1:52:56 PM,11/03/2023 1:52:56 PM,667,130196
90,"ТРАНСМИТТЕР ПАДЕНИЯ ДАВЛЕНИЯ ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ 316L SS, EJA110E-JVS5G-919DN/KF22/M01/T12/C1/D3 / 3-КЛАПАННЫЙ БЛОК (120-PDT-1070C) (S. 400/ 3 OF 6)",1.0000000,2,2000.0000000,,30/03/2023 8:34:31 AM,1480,180963
91,CARTE DETECTION / DETECTION PCB,1.0000000,2,2000.0000000,,,1452,213984
91,CARTE SURVEILLANCE / SUPERVISING BOARD,1.0000000,2,2000.0000000,,,1452,213985
91,CARTE ASSERVISSEMENT / DIGITAL CONTROL PCB,1.0000000,2,2000.0000000,,,1452,213986
91,CARTE TRAITEMENT VITESSE / SPEED PROCESSING BOARD,1.0000000,2,2000.0000000,,,1452,213987
91,ENSEMBLE AFFICHEUR / 15'' TOUCHSCREEN,1.0000000,2,3500.0000000,,,1452,213988
91,CONVERTISSEUR AC/DC / AC/DC CONVERTER (PSC),1.0000000,2,4000.0000000,,,1452,213989
91,MODULE DE CONTRÔLE PSC & CHARGEUR BATTERIES / MCU-POWER SUPPLY CONTROLLER (PSC),1.0000000,2,4000.0000000,,,1452,213990
91,ALIMENTATION 840W / 840W POWER SUPPLY (PSC),1.0000000,2,2000.0000000,,,1452,213991
91,ALIMENTATION 120W / 120W POWER SUPPLY (PSC),1.0000000,2,2000.0000000,,,1452,213992
91,AMPLIFICATEUR AXIAL / AXIAL AMPLIFIER,1.0000000,2,3500.0000000,,,1452,213993
91,AMPLIFICATEUR RADIAL / RADIAL AMPLIFIER,1.0000000,2,2500.0000000,,,1452,213994
91,VENTILATEUR / FAN,1.0000000,2,800.0000000,,,1452,213995
91,VENTILATEUR / FAN,1.0000000,2,800.0000000,,,1452,213996
92,M Seal Type : Labyrinth Seal,1.0000000,8,8000.0000000,,,1661,213997
92,M Seal Type : Labyrinth Seal,1.0000000,8,8000.0000000,,,1661,213998
92,M Seal Type : BM4L058E4 / Size : 58 (mm) / M seal Code : ES1A-FXN-058-61,1.0000000,8,5000.0000000,,,1661,214000
92,M Seal Type : BM4L058E4 / Size : 58 (mm) / M seal Code : ES1A-FXN-058-61,1.0000000,8,5000.0000000,,,1661,214002
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214004
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214005
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214007
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214009
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214012
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214014
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214016
92,M Seal Type : 1648 / M seal Code : C2A1A11,1.0000000,8,5000.0000000,,,1661,214018
92,M Seal Type : BBSE 250V,1.0000000,8,10000.0000000,,,1661,214019
92,M Seal Type : BBSE 250V,1.0000000,8,10000.0000000,,,1661,214020
92,M Seal Type : Bellow M Seal,1.0000000,8,1500.0000000,,,1661,214022
92,M Seal Type : Bellow M Seal,1.0000000,8,1500.0000000,,,1661,214024
92,M Seal Type : Bellow M Seal,1.0000000,8,1500.0000000,,,1661,214025
92,M Seal Type : Bellow M Seal,1.0000000,8,1500.0000000,,,1661,214027
92,M Seal Type : FPM - Fluorocarbon,1.0000000,8,1500.0000000,,,1661,214030
92,M Seal Type : FPM - Fluorocarbon,1.0000000,8,1500.0000000,,,1661,214032
92,M Seal Type : Lip Seal,1.0000000,8,2000.0000000,,,1661,214034
92,M Seal Type : 2100 / Size : 45 (mm),1.0000000,8,2000.0000000,,,1661,214035
92,M Seal Type : 2100 / Size : 45 (mm),1.0000000,8,2000.0000000,,,1661,214037
92,M Seal Type : 2100 / Size : 45 (mm),1.0000000,8,2000.0000000,,,1661,214039
92,M Seal Type : 2100 / Size : 45 (mm),1.0000000,8,2000.0000000,,,1661,214042
92,M Seal Type : 1648 / M seal Code : 21A-LFN,1.0000000,8,5000.0000000,,,1661,214044
92,M Seal Type : 1648 / M seal Code : 21A-LFN,1.0000000,8,5000.0000000,,,1661,214046
92,M Seal Type:5610,1.0000000,8,2000.0000000,,,1661,214047
92,M Seal Type:5610,1.0000000,8,2000.0000000,,,1661,214049
92,M Seal Type : UM3-100,1.0000000,8,2500.0000000,,,1661,214051
92,M Seal Type : UM3-100,1.0000000,8,2500.0000000,,,1661,214053
92,M Seal Type : UM3-100,1.0000000,8,2500.0000000,,,1661,214056
92,M Seal Type : MW-200 / Size : 70 (mm),1.0000000,8,7000.0000000,,,1661,214057
92,M Seal Type : MW-200 / Size : 70 (mm) ,1.0000000,8,7000.0000000,,,1661,214058
92,M Seal Type : 1648-ES cartridge,1.0000000,8,6000.0000000,,,1661,214059
92,M Seal Type : 1648-ES cartridge,1.0000000,8,6000.0000000,,,1661,214062
92,M Seal Type : LIP SEAL,1.0000000,8,1500.0000000,,,1661,214063
92,M Seal Type : 5KSCB2S / Size : 43 (mm),1.0000000,8,2000.0000000,,,1661,214064
92,M Seal Type : 5KSCB2S / Size : 43 (mm),1.0000000,8,2000.0000000,,,1661,214067
92,M Seal Type : 5KSCB2D / Size : 43 (mm),1.0000000,8,2000.0000000,,,1661,214068
92,M Seal Type : 5KSCB2D / Size : 43 (mm),1.0000000,8,2000.0000000,,,1661,214070
92,Manual Globe Valve,4.0000000,2,1500.0000000,,,1661,214074
93,Valve Repair Kit 5807-Type 1,6.0000000,8,1000.0000000,23/03/2023 2:05:03 PM,23/03/2023 2:05:03 PM,594,214133
94,Valve Repair Kit 5807-Type 2,1.0000000,8,504.0000000,23/03/2023 2:04:58 PM,23/03/2023 2:04:58 PM,594,214134
96,Valve Repair Kit 5807-Type 5,1.0000000,8,335.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214137
96,Valve Repair Kit 5807-Type 6,1.0000000,8,1520.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214075
96,Valve Repair Kit 5807-Type 7,1.0000000,8,133.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214139
96,Valve Repair Kit 5807-Type 8,2.0000000,8,614.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214140
96,Valve Repair Kit 5807-Type 9,4.0000000,8,216.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214141
96,Valve Repair Kit 5807-Type 10,3.0000000,8,248.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214142
96,Valve Repair Kit 5807-Type 11,1.0000000,8,387.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214143
96,Valve Repair Kit 5807-Type 13,3.0000000,8,120.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214144
96,Valve Repair Kit 5807-Type 14,1.0000000,8,120.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214145
96,Valve Repair Kit 5807-Type 15,1.0000000,8,761.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214146
96,Valve Repair Kit 5807-Type 16,1.0000000,8,666.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214147
96,Valve Repair Kit 5807-Type 17,1.0000000,8,384.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214148
96,Valve Repair Kit 5807-Type 18,1.0000000,8,364.0000000,29/05/2023 4:57:01 PM,29/05/2023 4:57:01 PM,594,214149
96,Valve Repair Kit 5807-Type 19,5.0000000,8,325.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214150
96,Valve Repair Kit 5807-Type 20,1.0000000,8,679.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214151
96,Valve Repair Kit 5807-Type 21,2.0000000,8,245.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214152
96,Valve Repair Kit 5807-Type 22,1.0000000,8,497.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214153
96,Valve Repair Kit 5807-Type 23,1.0000000,8,405.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214154
96,Valve Repair Kit 5807-Type 24,2.0000000,8,213.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214155
96,Valve Repair Kit 5807-Type 25,2.0000000,8,448.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214156
96,Valve Repair Kit 5807-Type 26,1.0000000,8,234.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214157
96,Valve Repair Kit 5807-Type 27,2.0000000,8,684.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214158
96,Valve Repair Kit 5807-Type 28,3.0000000,8,132.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214159
96,Valve Repair Kit 5807-Type 29,1.0000000,8,222.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214160
96,Valve Repair Kit 5807-Type 30,1.0000000,8,346.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214161
96,Valve Repair Kit 5807-Type 31,1.0000000,8,674.0000000,29/05/2023 4:57:16 PM,29/05/2023 4:57:16 PM,594,214162
