Catalogue ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMID
8219,WIM0001554,"S/N236_Oil Seal (70x95x13t) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Сальник - t3.2x8"" ASME 150#RF",4395,2
8220,WIM0001555,"S/N237_Oil Seal (75x100x13t) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Сальник - t3.2x2"" ASME 150#RF",4396,2
8221,WIM0001556,"S/N238_Oil Seal (80x105x13t) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Сальник - t3.2x8"" ASME 150#RF",4397,2
8222,WIM0001557,"S/N239_Oil Seal (90x115x13t) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Сальник - t3.2x2"" ASME 150#RF",4398,2
8223,WIM0001558,"S/N24_Gasket t3.2xО.D74 6xl.D616 / 171-XP-013-TK-28, / Прокладка t3.2xO.D74 6xI.D616",4466,2
8224,WIM0001559,"S/N240_Oil Seal (105x135x14t) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Сальник - t3.2xO.D746xI.D616",4399,2
8225,WIM0001560,"S/N241_Bearing (UCP213) / 176-XP-002-TK-01 and 02, 17-030-02, / Подшипник - t3.2xO.D746xI.D616",4400,2
8226,WIM0001561,"S/N242_Ball Bearing (6214ZZ) / 176-XP-002-TK-01 and 02, 17-030-02, / Подшипник - t3.2x3"" ASME 150#RF",4401,2
8227,WIM0001562,"S/N243_Automatic Self aligning Roller Bearing (22318 EAE4) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Подшипник - t3.2x1"" ASME 150#RF",4402,2
8228,WIM0001563,"S/N244_Automatic Self aligning Roller Bearing (22319 EAE4) / 176-XP-002-TK-01 and 02, 17-030-02/03, / Подшипник - t3.2xO.D746xI.D616",4403,2
8229,WIM0001564,"S/N245_Gasket, 20"" ASME 150 RF, 4,5t / 176-XP-002-VD-01, 17-030-04, / Прокладка - t3.2x1"" ASME 150#RF",4404,2
8230,WIM0001565,"S/N246_Gasket, 6"" ASME 150 RF, 4,5t / 176-XP-002-VD-01, 17-030-04, / Прокладка - t3.2x8"" ASME 150#RF",4405,2
8231,WIM0001566,"S/N247_O-Ring Kit / 176-XP-018, 17-030-03/04, / Set уплотнительных колец - t3.2xO.D746xI.D616",4406,8
8232,WIM0001567,"S/N248_M/S COMPLETE UNIT 176-XP-002-PC-01AB, DAP 2X1-10MC / Механические уплотнения  - t3.2x18"" ASME 150#RF",4384,8
8233,WIM0001568,"S/N249_M/S COMPLETE UNIT 177-XP-005-PC-01AB, DAP 3X1,5-8MC / Механические уплотнения - t3.2x2"" ASME 150#RF",4385,8
8234,WIM0001569,"S/N25_Gasket t3.2x2"" ASME 150 RF / 171-XP-013-VD-01, / Прокладка t3.2x2"" ASME 150# RF",4467,2
8235,WIM0001570,"S/N250_M/S COMPLETE UNIT 177-XP-005-PC-02AB, DAP 3X1,5-8MC / Механические уплотнения - t3.2x6"" ASME 150#RF",4386,8
8236,WIM0001571,"S/N251_Bearing 6205ZZ / 176-XP-010-XA-01/02/03, / Подшипник - t3.2xO.D746xI.D616",4407,8
8237,WIM0001572,"S/N252_Bearing 6204ZZ / 176-XP-010-XA-01/02/03, / Подшипник - t3.2x2"" ASME 150#RF",4408,8
8238,WIM0001573,"S/N253_Bearing / 176-XP-012-PC-01A/B, 3207.6305, / Подшипник  - t3.2x8"" ASME 150#RF",4409,8
8239,WIM0001574,"S/N254_O-Ring  / 176-XP-013-PC-01A/B, / Уплотнительные кольца  - t3.2x24"" ASME 150#RF",4410,8
8240,WIM0001575,"S/N255_O-Ring  / 176-XP-014-PC-01A/B, / Уплотнительные кольца  - t3.2x2"" ASME 150#RF",4411,8
8241,WIM0001576,"S/N256_O-Ring  / 176-XP-023-PC-01A/B, / Уплотнительные кольца  - t3.2x24"" ASME 150#RF",4412,8
8242,WIM0001577,"S/N257_Bearing  / 176-XP-023-PC-01A/B, 3205.6205,/ Подшипник  - t3.2x2"" ASME 150#RF",4413,8
8243,WIM0001578,"S/N258_O-Ring  / 176-XP-024-PC-01A/B, / Уплотнительные кольца  - t3.2x24"" ASME 150#RF",4414,8
8244,WIM0001579,"S/N259_O-Ring  / 176-XP-022-PC-01A/B, / Уплотнительные кольца  - t3(OD607 x ID 569)",4415,8
8245,WIM0001580,"S/N26_Gasket t3.2x2"" ASME 150 RF / 171-XP-013-VD-01, / Прокладка t3.2x2"" ASME 150# RF",4468,2
8246,WIM0001581,"S/N260_Bearing  / 176-XP-022-PC-01A/B, 3207.6305,/ Подшипник  - t3(OD607 x ID 569)",4416,8
8247,WIM0001582,"S/N261_O-Ring  / 176-XP-025-PC-01A/B, / Уплотнительные кольца   - t3 (2""ASME#150 RF)",4417,8
8248,WIM0001583,"S/N262_O-Ring  / 176-XP-019-PC-01A/B, / Уплотнительные кольца    - t3 (2""ASME#150 RF)",4418,8
8249,WIM0001584,"S/N263_O-Ring  / 176-XP-026-PC-01A/B, / Уплотнительные кольца  - OD795 X T3",4419,8
8250,WIM0001585,"S/N264_O-Ring  / 176-XP-028-PC-01A/B, / Уплотнительные кольца - W13 x T8",4420,8
8251,WIM0001586,"S/N265_Bearing  / 176-XP-028-PC-01A/B, 3205.6205/ Подшипник - 140 x 140 x40",4421,8
8252,WIM0001587,"S/N266_Scroll Bearing Oil Seal (95x120x12 OC) / 176-XP-005, / Уплотнение подшипника прокрутки - 80x80x20",4422,2
8253,WIM0001588,"S/N267_Scroll Bearing Oil Seal (95x110x12 TC) / 176-XP-005, / Сальниковое уплотнение подшипника - 80x80x20",4423,2
8254,WIM0001589,"S/N268_Scroll Bearing Oil Seal (65x85x10 TC) / 176-XP-005, / Сальник спирального подшипника - 80x80x20",4424,2
8255,WIM0001590,"S/N269_Scroll Bearing Oil Seal (90x110x12 TC) / 176-XP-005, / Сальник спирального подшипника - 500x500x20",4425,2
8256,WIM0001591,"S/N27_Gasket t3.2x24"" ASME 150 RF / 171-XP-013-VD-01, / Прокладка t3.2x24"" ASME 150# RF",4469,2
8257,WIM0001592,"S/N270_Scroll Bearing Oil Seal (95x115x12 OC) / 176-XP-005, / Сальник спирального подшипника - 140x140x20",4426,2
8258,WIM0001593,"S/N271_V-Belt (SPZ 1412) / 176-XP-007, / Ремень - 200x200x50",4427,2
8259,WIM0001594,"S/N272_Scroll Bearing (5214) / 176-XP-007, / Подшипник - 140x140x20",4428,8
8260,WIM0001595,"S/N273_Fuse Switch, / Переключатель предохранителя - 180x180x20",4429,2
8261,WIM0001596,"S/N274_Fuse, / Предохранитель - 160x160x20",4430,2
8262,WIM0001597,"S/N275_Contactor, / Контактор - 180x180x20",4431,2
8263,WIM0001598,"S/N276_Fuse Holder, / Патрон плавкого предохранителя - 160x160x40",4432,2
8264,WIM0001599,"S/N277_Fuse, / Предохранитель - 180x180x20",4433,2
8265,WIM0001600,"S/N278_CB, / Предохранитель - 180x180x80",4434,2
8266,WIM0001601,"S/N279_CB, / Предохранитель - 20x20x10",4435,2
8267,WIM0001602,"S/N28_Gasket t3.2x2"" ASME 150 RF / 171-XP-013-VD-02, / Прокладка t3.2x2"" ASME 150# RF",4470,2
8268,WIM0001603,"S/N280_Relay, / Реле - 25x25",4436,2
8269,WIM0001604,"S/N281_Relay socket, / Реле гнездо - 20x20x10",4437,2
8270,WIM0001605,"S/N282_Power Supply, / Источник питания - 50x50x20",4438,2
8271,WIM0001606,"S/N283_Heater, / Нагреватель - 120x120x20",4439,2
8272,WIM0001607,"S/N284_Switch, / Предохранитель - 120x120x20",4440,2
8273,WIM0001608,"S/N285_TB, / Предохранитель - 25x25x25",4441,2
8274,WIM0001609,"S/N286_TB, / Предохранитель - 25x25x25",4442,2
8275,WIM0001610,"S/N29_Gasket t3.2x24"" ASME 150 RF / 171-XP-013-VD-02, / Прокладка t3.2x24"" ASME 150# RF",4471,2
8276,WIM0001611,"S/N3_Gasket t3.2x6"" ASME 150 RF / 171-XP-013-TK-06, / Прокладка t3.2x6"" ASME 150# RF",4445,2
8277,WIM0001612,"S/N30_Gasket t3.2x2"" ASME 150 RF / 171-XP-013-VD-03, / Прокладка t3.2x2"" ASME 150# RF",4472,2
8278,WIM0001613,"S/N31_Gasket t3.2x24"" ASME 150 RF / 171-XP-013-VD-03, / Прокладка t3.2x24"" ASME 150# RF",4473,2
8279,WIM0001614,"S/N32_Gasket t3 (OD607 x ID569) / 171-XP-013-ES-13, / Прокладка t3 (OD607 x ID569)",4474,2
8280,WIM0001615,"S/N33_Gasket t3 (OD607 x ID569) / 171-XP-013-ES-13, / Прокладка t3 (OD607 x ID569)",4475,2
8281,WIM0001616,"S/N34_Gasket t3 (2"" ASME 150 RF) / 171-XP-013-ES-13, / Прокладка t3 (2"" ASME#150 RF)",4476,2
8282,WIM0001617,"S/N35_Gasket t3 (2"" ASME 150 RF) / 171-XP-013-ES-13, / Прокладка t3 (2"" ASME#150 RF)",4477,2
8283,WIM0001618,"S/N36_Gasket DN600OD795xT3 / 171-XP-013-TK-01, / Прокладка OD795xT3",4478,2
8284,WIM0001619,"S/N37_Gasket Polytop Seal W13xT8 / 171-XP-013-TK-01, / Прокладка W13xT8",4479,2
8285,WIM0001620,S/N38_CHEVRONS AVESTA 254SMO / 171-XP-013-XX-08 / Шевроны - 245 x 350 x 250,4656,8
8286,WIM0001621,S/N39_MIST ELIMINATORS SAF 2507 / 171-XP-013-EX-01 / Туманоуловитель - 877 x 440 x 300,4657,8
8287,WIM0001622,"S/N4_Gasket t3.2xO.D746xl.D616171-XP-013-TK-06, / Прокладка 3.2xO.D746xI.D616",4446,2
8288,WIM0001623,"S/N40_Cylinder Roller Bearing / 171-XP-013-XX-15, 1014.060.02-01 / Цилиндрический роликовый подшипник  140x140x40",4480,2
8289,WIM0001624,"S/N41_O-Ring / 171-XP-013-XX-15, 101231562 / Кольцо FKM (Viton) 80x80x20",4481,2
8290,WIM0001625,"S/N42_O-Ring / 171-XP-013-XX-15, 101209262 / Кольцо FKM (Viton) 80x80x20",4482,2
8291,WIM0001626,"S/N43_Sealing Ring / 171-XP-013-XX-15, 121282563 / Уплотнительное кольцо 80x80x20",4483,2
8292,WIM0001627,"S/N44_O-Ring / 171-XP-013-XX-15, 101243162 / Кольцо FKM (Viton) 500x500x20",4484,2
8293,WIM0001628,"S/N45_Lamellar ring / 171-XP-013-XX-15, 100510240 / Пластинчатое кольцо 140x140x20",4485,2
8294,WIM0001629,"S/N46_Grooved Ball Bearing / 171-XP-013-XX-15, 1014.039.01-03 / Рифленный шариковый подшипник 200x200x50",4486,2
8295,WIM0001630,"S/N47_O-Ring / 171-XP-013-XX-15, 101209662 / Кольцо FKM (Viton) 140x140x20",4487,2
8296,WIM0001631,"S/N48_O-Ring / 171-XP-013-XX-15, 101211762 / Кольцо FKM (Viton) 180x180x20",4488,2
8297,WIM0001632,"S/N49_Shaft Seal Ring / 171-XP-013-XX-15, 111270163 / Уплотнительное кольцо вала  160x160x20",4489,2
8298,WIM0001633,"S/N5_Gasket t3.2xO.D762xl.D636171-XP-013-TK-06, / Прокладка t3.2xO.D762xI.D636",4447,2
8299,WIM0001634,"S/N50_Sealing-Ring / 171-XP-013-XX-15, 292019601 / Уплотнительное кольцо FKM (Viton black) 180x18020",4490,2
8300,WIM0001635,"S/N51_Guide Ring / 171-XP-013-XX-15, 1019300000 / Направляющее кольцо 160x160x40",4491,2
8301,WIM0001636,"S/N52_O-RING / 171-XP-013-XX-15, 101225762 / Кольцо FKM (Viton) 180x180x20",4492,2
8302,WIM0001637,"S/N53_Angular Contact Bearing / 171-XP-013-XX-15, 101434500 / Радиально-упорный подшипник 180x180x80",4493,2
8303,WIM0001638,"S/N54_Head Cap Screw / 171-XP-013-XX-15, 0037.069.20-03 / Винт с головкой 20x20x10",4494,2
8304,WIM0001639,"S/N55_Side Scrape / 171-XP-013-XX-15, 291906300 - 25x25",4495,2
8305,WIM0001640,"S/N56_Head Cap Screw / 171-XP-013-XX-15, 0037.067.20-03 / Винт с головкой - 20x20x10",4496,2
8306,WIM0001641,"S/N58_Sealing Ring / 171-XP-013-XX-15, 1212.820.63-02 / Уплотнительно кольцо - 120x120x20",4498,2
8307,WIM0001642,"S/N59_Grooved Ball Bearing / 171-XP-013-XX-15, 101433200 / Рифленный шариковый подшипник - 120x120x20",4499,2
8308,WIM0001643,"S/N6_Gasket t3.2x2"" ASME 150 RF / 171-XP-013-TK-07, / Прокладка t3.2x2"" ASME 150# RF",4448,2
8309,WIM0001644,"S/N60_Countersunk Screw / 171-XP-013-XX-15, 261901615 / Винт с потайной головкой - 25x25x25",4500,2
8310,WIM0001645,"S/N61_Tungsten Carbide Scraper / 171-XP-013-XX-15, 114800100 / Карбид-вольфрамоый скребок - 25x25x25",4501,2
8311,WIM0001646,"S/N62_Lamellar ring / 171-XP-013-XX-15, 100510140 / Пластинчатое кольцо - 25x25x25",4502,2
8312,WIM0001647,"S/N63_O-RING / 171-XP-013-XX-15, 101212560 / Кольцо NBR - 140x140x10",4503,2
8313,WIM0001648,"S/N64_V-belts    XPA-1650 LW / 171-XP-013-XX-15, 9609400 - 300x300x20",4504,2
8314,WIM0001649,"S/N65_V-belts    XPA-1650 LW / 171-XP-013-XX-15, 9601401 - 300x300x20",4505,2
8315,WIM0001650,"S/N67_Sealing / 171-XP-013-XX-15, 262032311 / Уплотнительные FKM - 80x80x20",4507,2
8316,WIM0001651,"S/N68_O-RING / 171-XP-013-XX-15, 101218660 / Кольцо NBR - 80x80x20",4508,2
8317,WIM0001652,"S/N69_Oil / Air -Pneumatic Pump Series 14, 171-XP-013-XX-15-XX01, 1411100 / Воздушный пневматический насос - 500x500x90",4509,2
8318,WIM0001653,"S/N7_Gasket t3.2x2"" ASME 150 RF / 171-XP-013-TK-07, / Прокладка t3.2x2"" ASME 150# RF",4449,2
8319,WIM0001654,"S/N70_ASCO SCG356B002VMS 24/DC, 171-XP-013-XX-15-XX01, N670000 / Арматура - 100x100x50",4510,2
8320,WIM0001655,"S/N71_Filter for oil 3µm / 171-XP-013-XX-15- XX01, N377003 / Фильтр для масла 3 мкм - 25x25x25",4511,2
8321,WIM0001656,"S/N72_Oil Pressure Transmitter ABB 261GS,171-XP-013-XX-15- XX01, N250000 / Датчик давления масла - 100x100x50",4512,2
8322,WIM0001657,"S/N73_Air Oil Mixer MVE-A B52020-3/3/0 2x30mm3, B52.0008.A / Воздушный смеситель масла - 100x100x50",4513,2
8323,WIM0001658,"S/N74_Oil Pressure Gauge M40 1/8 0-60Bar glycerine, 171-XP-013-XX-15- XX01 N273501 / Датчик давления масла - 150x50x50",4514,2
8324,WIM0001659,"S/N75_Filter-regulator Asco Numatics Mod G651APBP2Q124HN  / 171-XP-013-XX-15- XX01, N620501 / Фильтр с регулятором - 150x50x50",4515,2
8325,WIM0001660,"S/N76_Air Pressure Transmitter ABB 261GS ( 0-10 ), 171-XP-013-XX-15- XX01, N250001 / Преоброзаватель давления воздуха - 100x100x50",4516,2
8326,WIM0001661,"S/N77_Solenoid Section Valve / 171-XP-013-XX-15- XX01, N250002  / Электромагнитный секционный клапан - 200x100x50",4517,2
8327,WIM0001662,"S/N79_Size 52, 10 micron Polyurethane / 171-XP-013-CB-05, TAP-90-R-10-A-0- 0-1-P01 / Части насоса из полиуретана - N/A",4519,2
8328,WIM0001663,"S/N8_Gasket t3.2x2"" ASME 300 RF / 171-XP-013-TK-07, / Прокладка t3.2x2"" ASME 300# RF",4450,2
8329,WIM0001664,"S/N80_Casing cover gasket o-ring 950x5 / 171-XP-013-CB-05, 41085103 / Уплотнительная прокладка крышки корпуса - 950x5",4520,2
8330,WIM0001665,"S/N81_Manhole gasket o-ring 240x5 / 171-XP-013-CB-05, 41085007 / Уплотнительное кольцо для прокладки люка - 240x5",4521,2
8331,WIM0001666,"S/N82_Condensate drain gasket o-ring 110x5 / 171-XP-013-CB-05, 41085002 / Уплотнительное кольцо для слива конденсата - 110x5",4522,2
8332,WIM0001667,"S/N83_Water injection gasket o-ring 85x5 / 171-XP-013-CB-05, 41085001 /  Уплотнительное кольцо для впрыска воды - 85x5",4523,2
8333,WIM0001668,"S/N84_shaft sealing gasket / 171-XP-013-CB-05, 41085006 / Уплотнительная прокладка вала - NA",4524,2
8334,WIM0001669,"S/N85_bearing system o-ring 265x5 / 171-XP-013-CB-05, 41074273 / Уплотнительное кольцо системы подшипников - 265x5",4525,2
8335,WIM0001670,"S/N86_bearing system o-ring 82x3 / 171-XP-013-CB-05, 41072881 / Уплотнительное кольцо системы подшипников - 82x3",4526,2
8336,WIM0001671,"S/N87_bearing system o-ring o-ring 230x3 / 171-XP-013-CB-05, 41074157,  Уплотнительное кольцо системы подшипников - 230x3",4527,2
8337,WIM0001672,"S/N88_deep grooved ball bearing 6232M/C3 / 171-XP-013-CB-05, 49394636 / Радиальный шарикоподшипник",4528,2
8338,WIM0001673,"S/N89_cylindrical roller bearings NU226 ECML/C3 / 171-XP-013-CB-05, 49370802 / Цилиндрические роликоподшипники",4529,2
8339,WIM0001674,"S/N9_Gasket t3.2x8"" ASME 150 RF / 171-XP-013-TK-07, / Прокладка t3.2x8"" ASME 150# RF",4451,2
8340,WIM0001675,"S/N90_Shaft protection sleeve 120/140x165 3.1 / 171-XP-013-CB-05, 5940982343 / Защитная втулка вала - 20x140x165",4530,2
8341,WIM0001676,"S/N91_Shaft seal ring SD50-140 / 171-XP-013-CB-05, 41014007, / Уплотнительное кольцо вала",4531,2
8342,WIM0001677,"S/N92_Coupling disc pack for Arpex ARS-06 280-6 / 171-XP-013-CB-05, 43698151 / Муфты дисков сцепления для Arpexкол-во",4532,8
8343,WIM0001678,"S/N93_Coupling disc pack for Arpex ARS-06 280-6 / 171-XP-013-CB-05, 43699517 / Муфты дисков сцепления для Arpexкол-во",4533,8
8344,WIM0001679,"S/N94_IGV Gasket o-ring 840x5 / 171-XP-013-CB-05, 41085163 / Уплотнительное кольцо - 840x5",4534,2
8345,WIM0001680,"S/N95_Difusor gasket o-ring 840x5 / 171-XP-013-CB-05, 41085163 /  Уплотнительное кольцо - 840x5",4535,2
8346,WIM0001681,"S/N96_FULLJET NOZZLE/FULLJET  / 171-XP-013-XX-08, 3/4HH-AL6XN7 / Сопло - 50x50x50",4536,2
8347,WIM0001682,"S/N97_FULLJET NOZZLE/FULLJET  / 171-XP-013-XX-08, 3/8GG-AL6XN17W / Сопло - 40x40x40",4537,2
8348,WIM0001683,"S/N98_FULLJET NOZZLE/FULLJET  / 171-XP-013-XX-08, 1-7N-AL6XN3 / Сопло - 50x50x50",4538,2
8349,WIM0001684,"S/N99_FULLJET NOZZLE/FULLJET  / 171-XP-013-XX-08, 3/8G-AL6XN15 / Сопло - 40x40x40",4539,2
8350,WIM0001685,Safety latch / Защелка безопасности,1540,2
8351,WIM0001686,"Safety Outlet, 3/4"" NPT 750-900psi / Предохранитель давления артикул 82-844346-000",3195,2
8352,WIM0001687,SCALANCE XB205-3LD managed Layer 2 IE Switch 5x 1 0/1 00 Mbit/s RJ45 ports 3x MM FO SC / SCALANCE XB205-3LD управляемый Коммутатор уровня 2 IE 5x 1 0/1 00 Мбит / с RJ45 порты 3x MM FO SC / 6GK5205-3BF00-2AB2 / SCALANCE XB205-3LD,3478,2
8353,WIM0001688,SEAL RING 3760 RB2033510954,3176,2
8354,WIM0001689,SEALING CHAMBER RBS 75-85-86 RB3077690318,3161,2
8355,WIM0001690,SEALING SPACER RBS 75 RB3182670310,3174,2
8356,WIM0001691,Set of cable glands / Set кабельных вводов,1532,2
8357,WIM0001692,"SET OF FAN BEARINGS Euro 29009,22",2193,8
8358,WIM0001693,"Set of flexible connection Euro 4532,69",2191,8
8359,WIM0001694,SET OF GASKETS 370220.23120.MUZZ,3172,2
8360,WIM0001695,"SET OF gaskets B Euro 362,61/set",2190,8
8361,WIM0001696,SET OF GASKETS370220.23121 MUZZ,3173,2
8362,WIM0001697,Set of magnetothermic / Набор магнитотермических,1531,2
8363,WIM0001698,Set of relay / Set реле,1530,2
8364,WIM0001699,"SET OF SHAFT SEAL Euro 1541,12",2192,8
8365,WIM0001700,"Shaft seal for fan / Уплотнение вала, V-ring (NBR) / V 25A /V 20A",3135,2
8366,WIM0001701,Shaft seal ring 32 313D7-17188-01,3483,2
8367,WIM0001702,Shaft seal ring 32 314D112-17188-01 / Уплотниетльное кольцо вала,4758,2
8368,WIM0001703,"SITOP PSE200U 10 A Selectivity module / Модуль селективности / 6EP1961-2BA41 / SITOP PSE200U 10 A, 4Х-КАНАЛЬНЫЙ МОДУЛЬ СЕЛЕКТИВНОСТИ, ВХОД: =24 В, ВЫХОД: =24 В/10 А, ПОКАНАЛЬНАЯ НАСТРОЙКА ВЫХОДОВ НА ТОК 3-10 А, СО СТАТУСНЫМ СООБЩЕНИЕМ ДЛЯ КАНАЛА",3475,2
8369,WIM0001704,"Size: 1 1/2"" (Size: 40mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4897,2
8370,WIM0001705,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R 316L SS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4921,2
8371,WIM0001706,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",4847,2
8372,WIM0001707,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4863,2
8373,WIM0001708,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4933,2
8374,WIM0001709,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",4961,2
8375,WIM0001710,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4962,2
8376,WIM0001711,"Size: 1 1/2"" (Size: 40mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4963,2
8377,WIM0001712,"Size: 1 1/2"" (Size: 40mm) Gasket, EPDM FF B16.21 CL150 3MM thickness FULL FACE 60-70 SHORE A DUROMETER",5085,2
8378,WIM0001713,"Size: 1 1/2"" (Size: 40mm) Gasket, EPDM FF B16.21 CL300 3MM thickness FULL FACE 60-70 SHORE A DUROMETER",5084,2
8379,WIM0001714,"Size: 1 1/2"" (Size: 40mm) Gasket, PTFE RF B16.21 CL150 3MM thickness FLAT RING",5083,2
8380,WIM0001715,"Size: 1 1/2"" (Size: 40mm) Gasket, PTFE RF B16.21 CL300 3MM thickness FLAT RING",5082,2
8381,WIM0001716,"Size: 1 1/2"" (Size: 40mm) Gasket, SOFT IRON RJ B16.20 CL1500 R OCTAGONAL",5044,2
8382,WIM0001717,"Size: 1"" (Size: 25mm) Gasket, 304 SS RJ B16.20 CL1500 R OCTAGONAL",5041,2
8383,WIM0001718,"Size: 1"" (Size: 25mm) Gasket, 316 SS RJ B16.20 CL1500 R OCTAGONAL",5039,2
8384,WIM0001719,"Size: 1"" (Size: 25mm) Gasket, 316 SS RJ B16.20 CL2500 R OCTAGONAL",5058,2
8385,WIM0001720,"Size: 1"" (Size: 25mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4896,2
8386,WIM0001721,"Size: 1"" (Size: 25mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",4846,2
8387,WIM0001722,"Size: 1"" (Size: 25mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4876,2
8388,WIM0001723,"Size: 1"" (Size: 25mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4932,2
8389,WIM0001724,"Size: 1"" (Size: 25mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",4825,2
8390,WIM0001725,"Size: 1"" (Size: 25mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4827,2
8391,WIM0001726,"Size: 1"" (Size: 25mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4960,2
8392,WIM0001727,"Size: 1"" (Size: 25mm) Gasket, 321 SS RJ B16.20 CL1500 R OCTAGONAL",5040,2
8393,WIM0001728,"Size: 1"" (Size: 25mm) Gasket, 4-6CR-1/2MO RJ B16.20 CL1500 R OCTAGONAL",5043,2
8394,WIM0001729,"Size: 1"" (Size: 25mm) Gasket, DPLX S31803 GRAPH FILL DPLX S31803 I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4880,2
8395,WIM0001730,"Size: 1"" (Size: 25mm) Gasket, EPDM FF B16.21 CL150 3MM thickness FLAT RING 60-70 SHORE A DUROMETER",5081,2
8396,WIM0001731,"Size: 1"" (Size: 25mm) Gasket, EPDM FF B16.21 CL150 6MM thickness FULL FACE 60-70 SHORE A DUROMETER",5078,2
8397,WIM0001732,"Size: 1"" (Size: 25mm) Gasket, EPDM FF B16.21 CL300 3MM thickness FULL FACE 60-70 SHORE A DUROMETER",5079,2
8398,WIM0001733,"Size: 1"" (Size: 25mm) Gasket, MONEL 400 WND EPTFE FILL MONEL 400 I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound O2 SERV.",4910,2
8399,WIM0001734,"Size: 1"" (Size: 25mm) Gasket, PTFE RF B16.21 CL150 3MM thickness FLAT RING",5080,2
8400,WIM0001735,"Size: 1"" (Size: 25mm) Gasket, PTFE RF B16.21 CL300 3MM thickness FLAT RING",5077,2
8401,WIM0001736,"Size: 1"" (Size: 25mm) Gasket, SOFT IRON RJ B16.20 CL1500 R OCTAGONAL",5038,2
8402,WIM0001737,"Size: 1/2"" (Size: 15mm) Gasket, 316 SS RJ B16.20 CL1500 R OCTAGONAL",5034,2
8403,WIM0001738,"Size: 1/2"" (Size: 15mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",4861,2
8404,WIM0001739,"Size: 1/2"" (Size: 15mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4862,2
8405,WIM0001740,"Size: 1/2"" (Size: 15mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4930,2
8406,WIM0001741,"Size: 1/2"" (Size: 15mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",4956,2
8407,WIM0001742,"Size: 1/2"" (Size: 15mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",4958,2
