Catalogue ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMID
50856,ERS,ERS,,2
50857,,"Electrode LINCOLN Electric / Электрод Pinnacle Alloys ER70S-3 3/32x36""TIG 140lbs",,2
50858,,Наждачная бумага от 20 мм до 40 мм. ,,2
50859,,grinding paste,,2
50860,,grinding napkin three layered  ,,2
50861,,grinding paste,,2
50862,,grinding napkin three layered  ,,2
50863,,grinding paste,,2
50864,,grinding napkin three layered  ,,2
50865,,grinding paste,,2
50866,,grinding napkin three layered  ,,2
50867,,grinding paste,,2
50868,,grinding napkin three layered  ,,2
50869,,grinding paste,,2
50870,,grinding napkin three layered  ,,2
50871,,grinding paste,,2
50872,,grinding napkin three layered  ,,2
50873,,grinding paste,,2
50874,,grinding napkin three layered  ,,2
50875,v,v,,2
50876,,grinding paste,,2
50877,,grinding napkin three layered  ,,2
50878,,Электроды сварочные УОНИ 13/55 д 3 мм,,2
50879,,profile for fabricating the supports,,2
50880,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK ",,2
50881,,"MALE CONNECTOR, STAINLESS STEEL ASTM A-276 TP316 NPTF/T W/FL NUT & DOUBLE FERRULES",,2
50882,,"CS pipe spool 1/2""",,2
50883,,"CS pipe spool 3/4""",,2
50884,,metal bar,,2
50885,,Metal jacket,,2
50886,,Metal jacke,,2
50887,,Vapour barrier ,,2
50888,,Metal jacket,,2
50889,,Metal jacket securing bands,,2
50890,,Vapour barrier ,,2
50891,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK ",,2
50892,,"MALE CONNECTOR, STAINLESS STEEL ASTM A-276 TP316 NPTF/T W/FL NUT & DOUBLE FERRULES",,2
50893,,"Electrode LINCOLN Electric / Электрод Pinnacle Alloys ER70S-3 3/32x36""TIG 140lbs",,2
50894,,grinding paste,,2
50895,,grinding napkin three layered  ,,2
50896,,grinding paste,,2
50897,,grinding napkin three layered  ,,2
50898,2088.B7/A1,2088.B7/A1,,2
50899,,nylon mesh 100mc,,2
50903,H2 Vodorod ,H2 Vodorod ,,2
50904,H2 Vodorod,H2 Vodorod,,2
50905,CH4 ,CH4 ,,2
50910,4188,4188,,2
50911,,Специальная одежда пиджаки,,2
50918,,"CON RED, CS A234-WPB-SMLS BE B16.9, S-STD X S-STD",,2
50919,,"TEE, CS A234-WPB-SMLS BE B16.9, S-XS (S-STD)",,2
50920,,"WN FLG, CS A105 RF 125 AARH B16. 5 CL300, S-XS",,2
50921,,"GATE VA FLGD, CS A216-WCB HF (COCR) TRIM 13CR CL300 RF 125 AARH FP FLEXWDG BB OS&Y-RS API-600 B16.5 WELDD-IN RING HW",,2
50922,,"WN FLG, CS A105 RF 125 AARH B16. 5 CL300, S-XS (S-STD)",,2
50923,,"GATE VA FLGD, CS A216-WCB HF (COCR) TRIM 13CR CL300 RF 125 AARH FP FLEXWDG BB OS&Y-RS API-600 B16.5 WELDD-IN RING HW",,2
50924,,"PIPE, CS A106-B SNLS BE B36. 10M, S-XS (S-STD)",,2
50925,,"PIPE, CS A106-B SNLS BE B36. 10M, S-XS ",,2
