Requisition ID,Requisition Number,Suggested Supplier Contact ID,Delivery Location,Requisition Description,Requisitioned By Contact ID,Required By Date Time,Work Order ID,Account Code ID,Comment,User Defined Text Box,User Defined Date Time,Requisition User Defined1ID,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Raised Date Time,Is From Replenish Stock,Approval Path ID
46,50,,,,689,15/12/2022 4:19:33 PM,,,,,,,689,15/12/2022 4:19:33 PM,689,15/12/2022 4:21:10 PM,15/12/2022 4:19:33 PM,,26
47,55,,,,1460,10/01/2023 10:20:29 AM,2806,18064,,,,,1460,10/01/2023 10:20:29 AM,1460,10/01/2023 10:20:29 AM,10/01/2023 10:20:29 AM,,28
48,60,1448,UZGTL Plant,Cluster filters for LTFT Reactors required during TAR-2024,1674,1/03/2024 3:37:26 PM,,18048,"Because of manufacture period of filters is 13 months, it is highly important to sign a contract with suppliers ",,,,1674,10/01/2023 3:37:26 PM,1674,10/01/2023 3:48:58 PM,10/01/2023 3:37:26 PM,,6
49,61,,,,1456,10/01/2023 4:05:21 PM,,,,,,,1456,10/01/2023 4:05:21 PM,1456,10/01/2023 4:08:58 PM,10/01/2023 4:05:21 PM,,6
50,71,,,,1461,10/02/2023 4:46:32 PM,29381,10,,,,,1461,10/02/2023 4:46:32 PM,1461,10/02/2023 4:46:32 PM,10/02/2023 4:46:32 PM,,26
51,72,,,,1461,10/02/2023 4:51:45 PM,29381,10,,,,,1461,10/02/2023 4:51:45 PM,1461,10/02/2023 4:53:00 PM,10/02/2023 4:51:45 PM,,26
52,73,1861,Uzbekistan GTL plant,,1461,10/02/2023 4:59:07 PM,,18042,In order to change damaged transmitters,,,,1461,10/02/2023 4:59:07 PM,1453,10/02/2023 5:56:50 PM,10/02/2023 4:59:07 PM,,33
53,74,1861,Uzbekistan GTL Plant,,1461,13/02/2023 9:26:33 AM,29381,18043,,,,,1461,13/02/2023 9:26:33 AM,667,24/03/2023 10:37:25 AM,13/02/2023 9:26:33 AM,,33
54,75,1861,Uzbekistan GTL Plant,,1461,13/02/2023 9:29:41 AM,29382,18043,,,,,1461,13/02/2023 9:29:41 AM,1909,16/03/2023 12:22:57 PM,13/02/2023 9:29:41 AM,,33
55,76,1861,Uzbekistan GTL Plant,,1461,13/02/2023 12:00:00 AM,27109,18043,,,,,1461,13/02/2023 9:30:43 AM,1909,16/03/2023 12:23:18 PM,13/02/2023 9:30:43 AM,,33
56,77,1861,Uzbekistan GTL plant,,1461,13/02/2023 9:37:10 AM,,10,Spare Differential transmitter for 120-LT-1191A/B/C and 120-LT-2191A/B/C,,,,1461,13/02/2023 9:37:10 AM,1461,12/05/2023 4:02:03 PM,13/02/2023 9:37:10 AM,,33
57,78,1861,Uzbekistan GTL plant,,1648,14/02/2023 2:34:30 PM,,18042,,,,,1648,14/02/2023 2:34:30 PM,1648,14/02/2023 2:42:48 PM,14/02/2023 2:34:30 PM,,33
58,80,1861,Uzbekistan GTL Plant,For Purchase,1648,15/02/2023 1:56:30 PM,,18042,"Unit-72, Dearator, Fired Steam Superheater, Unit-73  STGA/B qurilmalarini to'xtovsiz va uzluksiz ishlashini ta'minlash uchun.",,,,1648,15/02/2023 1:56:30 PM,1460,15/02/2023 4:05:56 PM,15/02/2023 1:56:30 PM,,33
59,82,1448,Uzbekistan GTL ,UZGTL-CGM-PRO-07-10-0000-11-D in accordance with #1 for sampling and laboratory analysis from the specified device in Unit10,703,27/02/2023 2:07:02 PM,,18050,,,,,703,16/02/2023 2:07:02 PM,1,17/07/2023 11:10:56 AM,16/02/2023 2:07:02 PM,,35
60,83,1448,Uzbekistan GTL ,For use as PPE in the analysis of the central laboratory of the plant,703,27/02/2023 2:22:10 PM,,18116,,,,,703,16/02/2023 2:22:10 PM,1909,16/03/2023 12:27:50 PM,16/02/2023 2:22:10 PM,,35
61,95,1448,"""Uzbekistan GTL""MCHJ Zavod Ma`muriy binosi",For drum handling package(130-XP-009) and packaging materials,1656,28/02/2023 11:30:01 AM,,18053,Stock material,,,,1656,17/02/2023 11:30:01 AM,1913,26/06/2023 8:03:52 PM,17/02/2023 11:30:01 AM,,33
62,101,1448,Uzbekistan GTL plant,to ensure continuous operation of the pumps,1460,17/03/2023 2:53:55 PM,,18040,,,,,1460,17/02/2023 2:53:55 PM,1460,17/02/2023 2:57:21 PM,17/02/2023 2:53:55 PM,,33
63,102,1448,Uzbekistan GTL plant,to ensure continuous operation of the pumps (150-PC-002A/B),1460,17/03/2023 3:05:55 PM,,18040,,,,,1460,17/02/2023 3:05:55 PM,1460,17/02/2023 3:10:17 PM,17/02/2023 3:05:55 PM,,33
