Work Order Spare ID,Work Order ID,Work Order Spare Description,Estimated Quantity,Estimated Unit Cost,Actual Quantity,UOMID,Work Order Component ID
7567,60643,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,0.0000000,8,45020
7568,60643,"Спец.обувь мужские для рабочих,ГОСТ 28507-99,UzTR.5-011:2017*",1.0000000,15.9449000,0.0000000,15,45020
7569,60643,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,45020
7570,60644,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,0.0000000,8,45021
7571,60644,"Спец.обувь мужские для рабочих,ГОСТ 28507-99,UzTR.5-011:2017*",1.0000000,15.9449000,0.0000000,15,45021
7572,60644,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,45021
7573,60645,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,45022
7574,60645,"Спец.обувь мужские для рабочих,ГОСТ 28507-99,UzTR.5-011:2017*",1.0000000,15.9449000,0.0000000,15,45022
7575,60645,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,45022
7576,60646,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,45023
7577,60646,"Спец.обувь мужские для рабочих,ГОСТ 28507-99,UzTR.5-011:2017*",1.0000000,15.9449000,0.0000000,15,45023
7578,60646,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,45023
7579,60647,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,45024
7580,60647,"Спец.обувь мужские для рабочих,ГОСТ 28507-99,UzTR.5-011:2017*",1.0000000,15.9449000,0.0000000,15,45024
7581,60647,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,45024
7582,60648,"Уплотнительная графитовая лента: 0,5х10х50000 мм",0.3200000,131.9400000,0.3200000,17,45025
7583,60648,Наждачная бумага от 0 мм до 20мм,1.0000000,4.7835000,1.0000000,10,45025
7584,60648,Наждачная бумага от 40 мм до 60мм.,1.0000000,6.3780000,1.0000000,10,45025
7585,60648,Наждачная бумага от 20 мм до 40 мм. ,1.0000000,5.5807000,1.0000000,10,45025
7586,59940,Cutting disc (Bulgarian) 125mm / mm - Отрезной диск (Болгарка) 125мм,10.0000000,0.7828000,10.0000000,2,44696
7587,59940,"Абразивный отрезной круг Т41 d 125*1,6*22мм",10.0000000,0.6000000,10.0000000,2,44696
7588,59940,Grinding Disc (Bulgarian) 125mm / mm - Шлифовальный диск (Болгарка) 125мм,10.0000000,1.0280000,10.0000000,2,44696
7589,60666,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,45051
7590,60666,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,45051
7591,60667,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,45052
